text;retweet_count;favorited;truncated;id_str;in_reply_to_screen_name;source;retweeted;created_at;in_reply_to_status_id_str;in_reply_to_user_id_str;lang;listed_count;verified;location;user_id_str;description;geo_enabled;user_created_at;statuses_count;followers_count;favourites_count;protected;user_url;name;time_zone;user_lang;utc_offset;friends_count;screen_name;country_code;country;place_type;full_name;place_name;place_id;place_lat;place_lon;lat;lon;expanded_url;url
#RosarioSangra y seguira sangrando si no nos juntamos https://t.co/rut4c5EyXd;0;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:16:29 +0000 2016;NA;NA;es;2;FALSO;rosario ciudad leprosa;572139011;...un lugar descerebrado,donde patear las cosas de mi mente nena,todavia estoy buscando!;FALSO;Sat May 05 23:12:41 +0000 2012;3633;77;285;FALSO;NA;7 estrellas;America/Buenos_Aires;es;-10800;181;claudiodfernan2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/Rosario_Plus/status/773716269946146816;https://t.co/rut4c5EyXd
"RT @danielperriard: #RosarioSangra:
Políticos, jueces y policías
#NoSeHaganLosBoludos
Basta de ladrones y asesinos sueltos
Soluciones YA ht…";3;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:19:36 +0000 2016;NA;NA;es;1;FALSO;Ciudad Autónoma de Buenos Aire;4778174477;con el gran  loco Luis  en las 84 hs de Bs As;VERDADERO;Mon Jan 11 22:07:59 +0000 2016;1385;21;1918;FALSO;NA;Claudio Alvarez;NA;es;NA;62;Claudio03453689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;4;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:24:46 +0000 2016;NA;NA;es;5;FALSO;Rosario;402736284;* Periodista - Técnico Operador - Productor RosarioUnder Tv / Canal 4 Cablehogar | Despertarte con Aleart / LT3 AM 680 |;FALSO;Tue Nov 01 14:11:42 +0000 2011;2673;691;395;FALSO;http://facebook.com/fermolinaok;Fernando Molina;Buenos Aires;es;-10800;349;fermolinaok;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;5;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:36:43 +0000 2016;NA;NA;es;157;FALSO;Paris-Israel-Barcelona-Arg;2772845687;NA;FALSO;Tue Sep 16 23:27:05 +0000 2014;31883;475;28502;FALSO;NA;Cavas Barcelona;NA;es;NA;411;bcncavas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;6;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";FALSO;Thu Sep 08 03:48:58 +0000 2016;NA;NA;es;5;FALSO;NA;4497008602;"Peronista Pura Cepa.
Sólo los trabajadores salvarán a los Trabajadores.
El plan del Gobierno NO cierra sin represión. 
Bloqueo Cipayos del Pro y anexos varios.";FALSO;Tue Dec 15 23:29:03 +0000 2015;24252;2253;11801;FALSO;NA;?CacerolaNac&Pop?;Buenos Aires;es;-10800;2752;cacerolapop;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
"RT @GilbertoelGil7: #RosarioSangra Mañana 08-09-2016 desde las 19.30
Desde Tribunales ! Balcarce y Montevideo
#Rosario https://t.co/LNWPB9o…";41;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:52:00 +0000 2016;NA;NA;es;2;FALSO;Rosario-Argentina;146686868;Cegonha- Oriaxé Capoeira Rosario...  Sangre Canalla......Capoeirista...;VERDADERO;Sat May 22 02:47:17 +0000 2010;1605;147;423;FALSO;NA;Lorenita;NA;es;NA;471;LoreRivarola;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;7;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 03:53:25 +0000 2016;NA;NA;es;1;FALSO;NA;113177044;just because i'm losing, doesn't mean i'm lost;FALSO;Wed Feb 10 23:39:33 +0000 2010;47566;480;204;FALSO;NA;Marina;Buenos Aires;es;-10800;296;maririvo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;8;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 04:00:12 +0000 2016;NA;NA;es;35;FALSO;buenos aires;276517334;NA;VERDADERO;Sun Apr 03 14:34:20 +0000 2011;44492;397;5015;FALSO;NA;Margarita CortésVela;America/Argentina/Buenos_Aires;es;-10800;156;margacortesvela;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
"#RosarioSangra  Jueves 8   19:30 hs.
Tribunales provinciales-Plaza San Martín
Somos más...Seamos muchos más";0;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Thu Sep 08 04:06:06 +0000 2016;NA;NA;es;5;FALSO;Fort Knoxxx,Rosario;303220969;y si mejor abrimos un libro...?;VERDADERO;Sun May 22 14:08:47 +0000 2011;7118;127;1198;FALSO;NA;Rolando Mendieta;Buenos Aires;es;-10800;67;Roland_McLane;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RT @danielperriard: #RosarioSangra:
Políticos, jueces y policías
#NoSeHaganLosBoludos
Basta de ladrones y asesinos sueltos
Soluciones YA ht…";4;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Thu Sep 08 04:07:16 +0000 2016;NA;NA;es;0;FALSO;rosario;301448301;NA;VERDADERO;Thu May 19 13:54:27 +0000 2011;491;133;21;FALSO;NA;Andres Dahlquist;NA;es;NA;218;Andresdahlquist;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
